sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Female,White,"$50,000 to $54,999",College Degree,IL,61-70,1,"White College Degree $50,000 to $54,999",0,1
Female,White,"$150,000 to $174,999",Highschool,MO,61-70,0,"White Highschool $150,000 to $174,999",1,0
Female,White,"$70,000 to $74,999",Highschool,TX,61-70,1,"White Highschool $70,000 to $74,999",0,0
Male,Black/African American,"$20,000 to $24,999",Highschool,TN,51-60,0,"Black/African American Highschool $20,000 to $24,999",0,0
Female,White,"$55,000 to $59,999",Associate Degree,UT,21-30,0,"White Associate Degree $55,000 to $59,999",0,1
Male,White,"$45,000 to $49,999",Associate Degree,MN,41-50,0,"White Associate Degree $45,000 to $49,999",0,1
Female,White,"$35,000 to $39,999",College Degree,SC,71-80,0,"White College Degree $35,000 to $39,999",0,1
Female,White,"$50,000 to $54,999",Associate Degree,GA,61-70,1,"White Associate Degree $50,000 to $54,999",0,1
Female,White,"$35,000 to $39,999",Masters&Doc,CA,31-40,0,"White Masters&Doc $35,000 to $39,999",0,1
Female,White,"$175,000 to $199,999",College Degree,VA,41-50,1,"White College Degree $175,000 to $199,999",1,1
Female,White,"$70,000 to $74,999",Highschool,WV,61-70,1,"White Highschool $70,000 to $74,999",0,0
Male,White,"$35,000 to $39,999",Highschool,FL,18-20,0,"White Highschool $35,000 to $39,999",0,0
Female,White,"$35,000 to $39,999",College Degree,NE,51-60,1,"White College Degree $35,000 to $39,999",0,1
Female,White,"$15,000 to $19,999",Highschool,MI,51-60,1,"White Highschool $15,000 to $19,999",0,0
Female,White,"$70,000 to $74,999",Associate Degree,AZ,61-70,0,"White Associate Degree $70,000 to $74,999",0,1
Female,White,"$25,000 to $29,999",Highschool,TN,71-80,1,"White Highschool $25,000 to $29,999",0,0
Male,White,"$30,000 to $34,999",College Degree,MA,51-60,0,"White College Degree $30,000 to $34,999",0,1
Female,White,"$100,000 to $124,999",Highschool,IL,51-60,1,"White Highschool $100,000 to $124,999",0,0
Female,White,"$45,000 to $49,999",College Degree,CA,61-70,0,"White College Degree $45,000 to $49,999",0,1
Female,White,"$30,000 to $34,999",Highschool,NY,71-80,0,"White Highschool $30,000 to $34,999",0,0
Male,White,"$15,000 to $19,999",Highschool,CO,31-40,1,"White Highschool $15,000 to $19,999",0,0
Female,Japanese,"$150,000 to $174,999",College Degree,HI,31-40,0,"Japanese College Degree $150,000 to $174,999",1,1
